key,valor,,
site_name,Flutter Buy & Sell Admin Panel,,
title_bar_seperator,|,,
added_date,Fecha,,
upload_point_label,Subir Point,,
success_item_report,Informe artículo ha sido agregado con éxito,,
signin,Registrarse,,
check_for_detail,Compruebe para más detalle!,,
success_delete,Se han eliminado las,,
success_save_contact,Gracias por contactarnos. Vamos a llegar de nuevo a usted pronto.,,
success_contact_delete,Contacto mensaje se ha eliminado correctamente,,
btn_search,Buscar,,
btn_add_new,Añadir nuevo,,
btn_edit,Editar,,
btn_save,Salvar,,
btn_save_gallery,Guardar y Ir a la galería,,
btn_cancel,Cancelar,,
btn_yes,si,,
btn_delete,Eliminar,,
btn_publish,Publicar,,
btn_replace_photo,Vuelva a colocar las fotos,,
btn_replace_icon,reemplazar Icono,,
back_button,atrás,,
lbl_view,Ver,,
chat_history_save_success,historial de chat se ha añadido con éxito,,
chat_history_update_success,historial de chat se ha actualizado correctamente,,
btn_version,Versión,,
ver_info,Información de versión,,
ver_no_label,versión n,,
ver_msg_label,versión Mensaje,,
ver_title_label,versión Título,,
ver_force_update,Actualización de la versión de la Fuerza?,,
ver_need_data,Versión clara necesidad de datos?,,
success_version_add,Versión se ha añadido con éxito,,
success_version_edit,Versión se ha actualizado correctamente,,
dashboard,Tablero,,
no,No,,
del_cover_photo,Eliminar la foto de portada,,
youtube_url,Youtube URL,,
profile_img,Imagen de perfil,,
success_upload,La imagen se ha cargado correctamente,,
success_img_delete,La imagen se ha eliminado correctamente,,
error_login,Correo electrónico y contraseña no coinciden,,
err_access,"Lo sentimos, usted no tiene acceso a tomar esta acción",,
err_model,Se ha producido error de base de datos,,
err_sys,Se ha producido un error del sistema,,
err_upload,Se ha producido error de subida,,
wrn_no_data,No hay datos aún,,
del_cover_photo_confirm,¿Está seguro de que quiere borrar la foto?,,
upload_photo,Subir foto,,
no_record,No hay más registros,,
invalid_api_key,Clave de API no es válido,,
invalid_user_id,ID de usuario invalido,,
invalid_item_id,ID de elemento no válido,,
role,Papel,,
user_name,Nombre de usuario,,
user_email,Email,,
user_password,Contraseña,,
conf_password,confirmar Contraseña,,
user_phone,Teléfono,,
allowed_modules,Módulos permitidos,,
user_ban,Prohibición,,
user_unban,eliminar la prohibición,,
user_info,informacion del usuario,,
user_list,Lista de usuarios,,
user_add,Añadir nuevo usuario,,
user_edit,editar usuario,,
user_search,la búsqueda de usuarios,,
err_dup_email,Dirección de correo electrónico está ya existía en el sistema,,
err_dup_name,El nombre ya se existía en el sistema,,
err_user_name_blank,Sírvanse proporcionar nombre de usuario,,
err_user_name_len,La longitud del nombre de usuario debe ser mayor que 4,,
err_user_email_blank,"Por favor, indique la dirección de correo electrónico",,
err_user_email_invalid,"Por favor, indique la dirección de correo electrónico válida",,
err_user_email_exist,Dirección de correo electrónico está ya existía en el sistema,,
err_user_pass_blank,"Por favor, proporcione la contraseña",,
err_user_pass_len,La longitud de la contraseña debe ser mayor que 4,,
err_user_pass_conf_blank,Sírvanse proporcionar confirmación de contraseña,,
err_user_pass_conf_not_match,Contraseña y confirmación de contraseña no coinciden,,
err_permission_blank,"Por favor, seleccione qué módulos son capaces de acceder",,
success_user_add,El usuario ha sido agregado con éxito,,
success_user_edit,El usuario ha sido actualizado con éxito,,
err_user_banned,"En este momento, no se puede iniciar sesión porque su cuenta está prohibida.",,
cat_info,Información de la Categoría,,
cat_name,nombre de la categoría,,
cat_ordering,Orden de la categoría,,
cat_img,Categoría de la foto de portada,,
cat_icon,Icono Categoría,,
cat_search,la búsqueda Categoría,,
cat_select,Elija un nombre de categoría,,
cat_add,añadir categoría,,
cat_edit,Editar categoria,,
success_cat_edit,Categoría se ha actualizado correctamente,,
success_cat_add,Categoría se ha añadido con éxito,,
success_cat_delete,Categoría se ha eliminado correctamente,,
err_cat_name,Por favor proporcione nombre de la categoría,,
err_cat_len,La longitud del nombre de categoría debe ser mayor que 4,,
err_cat_exist,Nombre de categoría ya está existía en el sistema,,
delete_cat_label,Eliminar categoría?,,
cat_delete_confirm_message,¿Quieres eliminar toda la categoría?,,
cat_yes_all_message,Sí Todo - Categoría y artículos serán eliminar del sistema.,,
cat_no_only_message,Categoría Sólo - Categoría Sólo se eliminarán del sistema.,,
cat_yes_all_label,Si todo,,
cat_no_only_label,Categoría Sólo,,
subcat_info,Información Categoría Sub,,
subcat_name,Subcategoría Nombre,,
subcat_ordering,Orden de la categoría sub,,
subcat_img,Categoría Sub fotos,,
subcat_icon,Sub Icono,,
subcat_search,Buscar categoría Sub,,
subcat_add,Añadir categoría Sub,,
subcat_edit,Editar categoría Sub,,
success_subcat_edit,Sub se ha actualizado correctamente,,
success_subcat_add,Sub se ha añadido con éxito,,
success_subcat_delete,Sub se ha eliminado correctamente,,
err_subcat_name,"Por favor, indique el nombre sub-categoría",,
err_subcat_len,La longitud del Subcategoría Nombre debe ser mayor que 4,,
err_subcat_exist,Subcategoría Nombre ya existía en el sistema,,
delete_subcat_label,Eliminar categoría Sub?,,
subcat_delete_confirm_message,¿Seguro que elimina este Sub Categry?,,
subcat_yes_all_message,"Cuando eliminar esta categoría sub, borrará todos los productos relacionados también. Así que, ¿todavía desea eliminarlo?",,
subcat_no_only_message,<B> Sólo Sub </ b> - Sólo serán Sub eliminar de sistema.,,
subcat_yes_all_label,Si todo,,
subcat_no_only_label,Sólo Sub Categoría,,
select_subcat,Seleccionar categoría Sub,,
select_cat,selecciona una categoría,,
subcat_panel_title,Lista de categoría sub,,
Prd_search_cat,Elija un nombre de categoría,,
delete_contact_label,Eliminar contacto Mensaje?,,
contact_delete_confirm_message,¿Quieres eliminar el mensaje de contacto?,,
detail_contact_label,Detalle de contacto Mensaje,,
contact_info_label,Información de contacto Mensaje,,
about_contact_label,Acerca de contacto Mensaje,,
contact_info_label,Información de Contacto Detalle,,
contact_name,Nombre del Contacto,,
contact_email,Persona de contacto de correo electrónico,,
contact_phone,Persona de Contacto Teléfono,,
btn_reset,Reiniciar,,
reset_password,Restablecer la contraseña,,
contact_receive_message,Ha recibido un nuevo mensaje de nosotros contacto.,,
nav_profile,Ir al perfil,,
nav_backend,Ir al backend,,
nav_logout,Cerrar sesión,,
total_label,total:,,
device_label,Dispositivo,,
devices_label,dispositivos,,
registered_label,se ha registrado para notificaciones push,,
noti_info,Notificación de inserción,,
noti_message_label,Mensaje,,
noti_message_tooltips,Por favor proporcione la messsage para la notificación de inserción.,,
noti_send_btn,Enviar notificaciones push,,
sorry_no_device,"Lo sentimos, no hay ningún dispositivo registrado para la notificación Push.",,
select_cat,selecciona una categoría,,
success_noti_add,La notificación se ha añadido con éxito,,
success_noti_delete,La notificación se ha eliminado correctamente,,
delete_noti_label,Notificación de eliminación?,,
noti_yes_message,Notificación sí- eliminará a partir del sistema.,,
push_message,Mensaje push,,
noti_des_label,Descripción,,
noti_img,notificación de fotos,,
noti_search,Buscar Noti,,
select_cat,selecciona una categoría,,
noti_add,Añadir Noti,,
app_info_lable,Acerca de Información,,
about_title_label,sobre el Título,,
description_label,Descripción acerca,,
about_email_label,Acerca de correo electrónico,,
about_phone_label,Teléfono sobre,,
about_website_label,Acerca de Enlace al sitio Web,,
about_seo_section,Información SEO,,
about_seo_title_label,SEO Título,,
about_seo_desc_label,Descripción SEO,,
about_seo_keywords_label,SEO,,
about_social_section,Información Social,,
about_facebook_label,Facebook,,
about_gplus_label,Google+,,
about_instagram_label,Instagram,,
about_youtube_label,Youtube,,
about_pinterest_label,Pinterest,,
about_twitter_label,Gorjeo,,
about_color_section,Sobre el sitio tema de color,,
about_theme,Temas disponibles,,
success_about_edit,Sobre está actualizado correctamente,,
about_ads_analyt,Google Analytic y Anuncios Ajuste,,
about_ads_client,anuncios de cliente,,
about_ads_slot,anuncios Slot,,
about_analyt_track_id,Id Track Analytic,,
about_ads_on,Habilitar Google Adsense,,
about_analyt_on,Habilitar Google Analytic,,
gdpr_label,GDPR contenido,,
safety_tips_label,Consejos de seguridad,,
total_users_count_label,Usuarios Registrados,,
