key,valor
site_name,Flutter Buy & Sell Admin Panel
title_bar_seperator,|
added_date,Encontro
upload_point_label,Upload Point
success_item_report,Relatório de item foi adicionado com sucesso
signin,Assinar em
check_for_detail,Verifique para mais detalhes!
success_delete,Excluído com sucesso
success_save_contact,Obrigado por nos contactar. Em breve entraremos em contato.
success_contact_delete,A mensagem de contato foi excluída com sucesso
btn_search,Procurar
btn_add_new,Adicionar novo
btn_edit,Editar
btn_save,Salve
btn_save_gallery,Salvar e ir para a Galeria
btn_cancel,Cancelar
btn_yes,sim
btn_delete,Excluir
btn_publish,Publicar
btn_replace_photo,Substituir foto
btn_replace_icon,Substituir ícone
back_button,Costas
lbl_view,Visão
chat_history_save_success,O histórico de bate-papo foi adicionado com sucesso
chat_history_update_success,Histórico de bate-papo atualizado com sucesso
btn_version,Versão
ver_info,Versão informação
ver_no_label,Versão n.
ver_msg_label,Versão Mensagem
ver_title_label,Título da versão
ver_force_update,Versão Force Update?
ver_need_data,Versão Precisa de dados claros?
success_version_add,A versão foi adicionada com sucesso
success_version_edit,Version has been successfully updated
dashboard,painel de controle
no,Não
del_cover_photo,Excluir foto da capa
youtube_url,URL do YouTube
profile_img,Imagem de perfil
success_upload,A imagem foi enviada com sucesso
success_img_delete,A imagem foi excluída com sucesso
error_login,Email e senha não correspondem
err_access,"Desculpe, você não tem acesso para executar esta ação"
err_model,Ocorreu um erro no banco de dados
err_sys,Ocorreu um erro no sistema
err_upload,Ocorreu um erro no upload
wrn_no_data,Ainda não há dados
del_cover_photo_confirm,Are you sure you want to delete the photo?
upload_photo,Carregar foto
no_record,Não há mais registros
invalid_api_key,Chave da API inválida
invalid_user_id,ID de usuário inválido
invalid_item_id,ID do item inválido
role,Função
user_name,Nome do usuário
user_email,O email
user_password,Senha
conf_password,Confirme a Senha
user_phone,telefone
allowed_modules,Módulos Permitidos
user_ban,Banimento
user_unban,Unban
user_info,Informação do usuário
user_list,Lista de Usuários
user_add,Adicionar novo usuário
user_edit,Editar usuário
user_search,Pesquisar Usuário
err_dup_email,O endereço de e-mail já existe no sistema
err_dup_name,O nome já existe no sistema
err_user_name_blank,Forneça o nome de usuário
err_user_name_len,O comprimento do nome de usuário deve ser maior que 4
err_user_email_blank,Forneça o endereço de e-mail
err_user_email_invalid,Forneça um endereço de email válido
err_user_email_exist,O endereço de e-mail já existe no sistema
err_user_pass_blank,Forneça a senha
err_user_pass_len,O comprimento da senha deve ser maior que 4
err_user_pass_conf_blank,Forneça a senha de confirmação
err_user_pass_conf_not_match,A senha e a confirmação da senha não coincidem
err_permission_blank,"Por favor, selecione quais módulos podem acessar"
success_user_add,O usuário foi adicionado com sucesso
success_user_edit,User has been succesfully updated
err_user_banned,"Desculpe, você não pode entrar porque sua conta foi banida."
cat_info,Categoria Informação
cat_name,Category Name
cat_ordering,Ordem da categoria
cat_img,Categoria Foto da capa
cat_icon,Ícone da categoria
cat_search,Categoria de Pesquisa
cat_select,Selecione o nome da categoria
cat_add,Adicionar categoria
cat_edit,Editar categoria
success_cat_edit,A categoria foi atualizada com sucesso
success_cat_add,A categoria foi adicionada com sucesso
success_cat_delete,A categoria foi excluída com sucesso
err_cat_name,Forneça o nome da categoria
err_cat_len,O comprimento do nome da categoria deve ser maior que 4
err_cat_exist,O nome da categoria já existe no sistema
delete_cat_label,Excluir categoria?
cat_delete_confirm_message,Deseja excluir toda a categoria?
cat_yes_all_message,Sim tudo - a categoria e os itens serão excluídos do sistema.
cat_no_only_message,Somente categoria - Somente a categoria será excluída do sistema.
cat_yes_all_label,Sim todos
cat_no_only_label,Apenas categoria
subcat_info,Informações da subcategoria
subcat_name,Nome da subcategoria
subcat_ordering,Ordem da subcategoria
subcat_img,Subcategoria Foto
subcat_icon,Ícone da subcategoria
subcat_search,Subcategoria de pesquisa
subcat_add,Adicionar subcategoria
subcat_edit,Editar subcategoria
success_subcat_edit,A subcategoria foi atualizada com sucesso
success_subcat_add,Subcategoria foi adicionada com sucesso
success_subcat_delete,A subcategoria foi excluída com sucesso
err_subcat_name,Please provide sub category name
err_subcat_len,O comprimento do nome da subcategoria deve ser maior que 4
err_subcat_exist,O nome da subcategoria já existe no sistema
delete_subcat_label,Excluir subcategoria?
subcat_delete_confirm_message,Are you sure to delete this Sub Categry?
subcat_yes_all_message,"Ao excluir esta subcategoria, todos os produtos relacionados também serão excluídos. Então, você ainda deseja excluí-lo?"
subcat_no_only_message,<b> Somente subcategoria </b> - Somente a subcategoria será excluída do sistema.
subcat_yes_all_label,Sim todos
subcat_no_only_label,Apenas subcategoria
select_subcat,Selecionar subcategoria
select_cat,Selecione a Categoria
subcat_panel_title,Sub Category List
Prd_search_cat,Selecione o nome da categoria
delete_contact_label,Excluir mensagem de contato?
contact_delete_confirm_message,Deseja excluir a mensagem de contato?
detail_contact_label,Detalhe da mensagem de contato
contact_info_label,Contact Message Information
about_contact_label,Sobre a mensagem de contato
contact_info_label,Informações detalhadas do contato
contact_name,Nome da pessoa de contato
contact_email,E-mail da pessoa de contato
contact_phone,Telefone da pessoa de contato
btn_reset,Redefinir
reset_password,Redefinir senha
contact_receive_message,Você recebeu uma nova mensagem de contato.
nav_profile,Ir para o perfil
nav_backend,Vá para o back-end
nav_logout,Sair
total_label,Total :
device_label,Dispositiva
devices_label,Dispositivas
registered_label,foi registrado para a notificação por push
noti_info,Push Notification
noti_message_label,mensagem
noti_message_tooltips,Forneça a mensagem para notificação por push.
noti_send_btn,Enviar notificação por push
sorry_no_device,"Desculpe, não há um dispositivo registrado para a notificação por push."
select_cat,Selecione a Categoria
success_noti_add,A notificação foi adicionada com sucesso
success_noti_delete,A notificação foi excluída com sucesso
delete_noti_label,Excluir notificação?
noti_yes_message,Sim - A notificação será excluída do sistema.
push_message,Mensagem de envio
noti_des_label,Descrição
noti_img,Foto de notificação
noti_search,Pesquisar Noti
select_cat,Selecione a Categoria
noti_add,Adicionar Noti
app_info_lable,Sobre Informações
about_title_label,Sobre o título
description_label,Sobre Descrição
about_email_label,Sobre o email
about_phone_label,Sobre telefone
about_website_label,Sobre o link do site
about_seo_section,Informação SEO
about_seo_title_label,Título SEO
about_seo_desc_label,Descrição SEO
about_seo_keywords_label,Palavras-chave SEO
about_social_section,Informação Social
about_facebook_label,Facebook
about_gplus_label,Google+
about_instagram_label,Instagram
about_youtube_label,Youtube
about_pinterest_label,Pinterest
about_twitter_label,Twitter
about_color_section,Sobre a cor do tema do site
about_theme,Temas Disponíveis
success_about_edit,About é atualizado com sucesso
about_ads_analyt,Google Analytics e configuração de anúncios
about_ads_client,Cliente de anúncios
about_ads_slot,Espaço de anúncios
about_analyt_track_id,ID da faixa analítica
about_ads_on,Ativar o Google Adsense
about_analyt_on,Ativar o Google Analytic
gdpr_label,Conteúdo GDPR
safety_tips_label,Dicas de segurança
about_nav_icon,Ícone de navegação
about_fav_icon,Ícone fav
about_backend_icon,Para back-end
total_users_count_label,Usuários registrados
total_cat_count_label,Total de Categorias
total_contact_label,Total da mensagem de contato
total_likes_count_label,Contagem total de curtidas
total_favs_count_label,Contagem total de favoritos
total_comments_count_label,Contagem total de comentários
category_panel_title,Categorias recentes
recent_news_panel_title,Notícias recentes
available_inside,Notícias disponíveis nesta categoria.
contact_message,Mensagens de contato
user_latest_members,Usuários registrados mais recentes
success_contact,Sua mensagem foi salva com sucesso no sistema.
file_na,Não disponível
required_platform,Plataforma necessária
err_noti_register,"Desculpe, existe um problema no registro de notificação por push"
success_noti_register,Seu dispositivo se registrou com sucesso para a notificação por push.
success_noti_unregister,Seu dispositivo não foi registrado com êxito para a notificação por push.
err_noti_unregister,"Desculpe, existe o problema de cancelamento de registro de notificação por push"
success_touch_count,Toque em Contagem inserida com sucesso.
err_touch_count,Problema na contagem do toque!
err_user_register,"Desculpe, há um problema no registro do usuário."
err_user_not_exist,"Desculpe, o usuário não existe no sistema."
err_user_not_verify,"Desculpe, sua conta ainda não está confirmada."
err_email_not_send,"Sorry, there is problem in sending email."
