key,valeur
site_name,Flutter Buy & Sell Admin Panel
title_bar_seperator,|
added_date,Date
upload_point_label,Point de téléchargement
success_item_report,Le rapport d'élément a été ajouté avec succès
signin,Se connecter
check_for_detail,Vérifiez pour plus de détails!
success_delete,Supprimé avec succès
success_save_contact,Merci de nous avoir contacté. Nous vous recontacterons bientôt.
success_contact_delete,Le message de contact a été supprimé avec succès
btn_search,Chercher
btn_add_new,Add NewAjouter un nouveau
btn_edit,Éditer
btn_save,sauvegarder
btn_save_gallery,Enregistrer et aller à la galerie
btn_cancel,Annuler
btn_yes,Oui
btn_delete,Supprimer
btn_publish,Publier
btn_replace_photo,Remplacer la photo
btn_replace_icon,Remplacer l'icône
back_button,Retour
lbl_view,Vue
chat_history_save_success,L'historique du chat a été ajouté avec succès
chat_history_update_success,L'historique du chat a été mis à jour avec succès
btn_version,Version
ver_info,Information sur la version
ver_no_label,Version Non
ver_msg_label,Message de version
ver_title_label,Titre de la version
ver_force_update,Version Force Update?
ver_need_data,Version Besoin de données claires?
success_version_add,La version a été ajoutée avec succès
success_version_edit,La version a été mise à jour avec succès
dashboard,Tableau de bord
no,Non
del_cover_photo,Supprimer la photo de couverture
youtube_url,URL Youtube
profile_img,Image de profil
success_upload,L'image a été téléchargée avec succès
success_img_delete,L'image a été supprimée avec succès
error_login,Email et mot de passe ne correspondent pas
err_access,"Désolé, vous n'avez pas accès à cette action"
err_model,Une erreur de base de données s'est produite
err_sys,Une erreur système s'est produite
err_upload,Une erreur de téléchargement s'est produite
del_cover_photo_confirm,Voulez-vous vraiment supprimer la photo?
upload_photo,Envoyer la photo
no_record,Plus d'enregistrements
invalid_api_key,La clé API n'est pas valide
invalid_user_id,Identifiant invalide
invalid_item_id,ID d'élément non valide
role,Rôle
user_name,Nom d'utilisateur
user_email,Email
user_password,Mot de passe
conf_password,Confirmez le mot de passe
user_phone,Téléphone
allowed_modules,Modules autorisés
user_ban,Interdire
user_unban,Débloquer
user_info,informations de l'utilisateur
user_list,Liste des utilisateurs
user_add,Ajouter un nouvel utilisateur
user_edit,Modifier l'utilisateur
user_search,Rechercher un utilisateur
err_dup_email,L'adresse e-mail existe déjà dans le système
err_dup_name,Le nom existe déjà dans le système
err_user_name_blank,Veuillez fournir un nom d'utilisateur
err_user_name_len,La longueur du nom d'utilisateur doit être supérieure à 4
err_user_email_blank,Veuillez fournir une adresse e-mail
err_user_email_invalid,Adresse email invalide
err_user_email_exist,L'adresse e-mail existe déjà dans le système
err_user_pass_blank,Veuillez fournir un mot de passe
err_user_pass_len,La longueur du mot de passe doit être supérieure à 4
err_user_pass_conf_blank,Veuillez confirmer le mot de passe
err_user_pass_conf_not_match,Le mot de passe et la confirmation du mot de passe ne correspondent pas
err_permission_blank,Veuillez sélectionner les modules auxquels vous pouvez accéder
success_user_add,L'utilisateur a été ajouté avec succès
success_user_edit,L'utilisateur a été mis à jour avec succès
err_user_banned,"Désolé, vous ne pouvez pas vous connecter car votre compte est banni."
cat_info,Informations sur la catégorie
cat_name,Nom de catégorie
cat_ordering,Ordre des catégories
cat_img,Catégorie Photo de couverture
cat_icon,Icône de catégorie
cat_search,Catégorie de recherche
cat_select,Sélectionnez le nom de la catégorie
cat_add,ajouter une catégorie
cat_edit,Modifier la catégorie
success_cat_edit,La catégorie a été mise à jour avec succès
success_cat_add,La catégorie a été ajoutée avec succès
success_cat_delete,La catégorie a été supprimée avec succès
err_cat_name,Veuillez fournir le nom de la catégorie
err_cat_len,La longueur du nom de catégorie doit être supérieure à 4
err_cat_exist,Le nom de catégorie existe déjà dans le système
delete_cat_label,Supprimer la catégorie?
cat_delete_confirm_message,Voulez-vous supprimer toute la catégorie?
cat_yes_all_message,Oui tout - La catégorie et les articles seront supprimés du système.
cat_no_only_message,Only Category - Only Category supprimera du système.
cat_yes_all_label,Oui tout
cat_no_only_label,Catégorie uniquement
subcat_info,Informations sur la sous-catégorie
subcat_name,Nom de la sous-catégorie
subcat_ordering,Ordre des sous-catégories
subcat_img,Sous-catégorie Photo
subcat_icon,Icône de sous-catégorie
subcat_search,Sous-catégorie de recherche
subcat_add,Ajouter une sous-catégorie
subcat_edit,Modifier la sous-catégorie
success_subcat_edit,La sous-catégorie a été mise à jour avec succès
success_subcat_add,La sous-catégorie a été ajoutée avec succès
success_subcat_delete,La sous-catégorie a été supprimée avec succès
err_subcat_name,Veuillez fournir le nom de la sous-catégorie
err_subcat_len,La longueur du nom de la sous-catégorie doit être supérieure à 4
err_subcat_exist,Le nom de la sous-catégorie existe déjà dans le système
delete_subcat_label,Supprimer la sous-catégorie?
subcat_delete_confirm_message,Voulez-vous vraiment supprimer cette sous-catégorie?
subcat_yes_all_message,"Lorsque vous supprimez cette sous-catégorie, tous les produits associés seront également supprimés. Voulez-vous toujours le supprimer?"
subcat_no_only_message,<b> Seule sous-catégorie </b> - Seule la sous-catégorie sera supprimée du système.
subcat_yes_all_label,Oui tout
subcat_no_only_label,Sous-catégorie uniquement
select_subcat,Sélectionnez une sous-catégorie
select_cat,Choisir une catégorie
subcat_panel_title,Liste des sous-catégories
Prd_search_cat,Sélectionnez le nom de la catégorie
delete_contact_label,Supprimer le message de contact?
contact_delete_confirm_message,Voulez-vous supprimer le message de contact?
detail_contact_label,Détails du message de contact
contact_info_label,Informations sur le message de contact
about_contact_label,À propos du message de contact
contact_info_label,Coordonnées de contact
contact_name,nom de contacte d'une personne
contact_email,Courriel de la personne de contact
contact_phone,Téléphone de la personne de contact
btn_reset,Réinitialiser
reset_password,réinitialiser le mot de passe
contact_receive_message,Vous avez reçu un nouveau message contactez-nous.
nav_profile,Accéder au profil
nav_backend,Aller au backend
nav_logout,Se déconnecter
device_label,Dispositif
devices_label,Dispositifs
registered_label,a été enregistré pour la notification push
noti_info,Notification push
noti_message_label,Message
noti_message_tooltips,Veuillez fournir le message pour la notification push.
noti_send_btn,Envoyer une notification push
sorry_no_device,"Désolé, il n'y a pas d'appareil enregistré pour la notification push."
select_cat,Choisir une catégorie
success_noti_add,La notification a été ajoutée avec succès
success_noti_delete,La notification a été supprimée avec succès
delete_noti_label,Supprimer la notification?
noti_yes_message,Oui - La notification sera supprimée du système.
push_message,Message push
noti_des_label,La description
noti_img,Photo de notification
noti_search,Rechercher Noti
select_cat,Choisir une catégorie
noti_add,Ajouter Noti
app_info_lable,À propos de l'information
about_title_label,À propos du titre
description_label,Description
about_email_label,À propos de l'e-mail
about_phone_label,A propos du téléphone
about_website_label,À propos du lien vers le site Web
about_seo_section,Informations SEO
about_seo_title_label,Titre SEO
about_seo_desc_label,Description du référencement
about_seo_keywords_label,Mots-clés SEO
about_social_section,Informations sociales
about_facebook_label,Facebook
about_gplus_label,Google+
about_instagram_label,Instagram
about_youtube_label,Youtube
about_pinterest_label,Pinterest
about_twitter_label,Twitter
about_color_section,À propos de la couleur du thème du site Web
about_theme,Thèmes disponibles
success_about_edit,À propos de la mise à jour réussie
about_ads_analyt,Paramètres Google Analytics et annonces
about_ads_client,Client Ads
about_ads_slot,Emplacement des annonces
about_analyt_track_id,Identifiant de piste analytique
about_ads_on,Activer Google Adsense
about_analyt_on,Activer Google Analytic
gdpr_label,Contenu GDPR
safety_tips_label,Conseils de sécurité
about_nav_icon,Icône de navigation
about_fav_icon,Icône Fav
about_backend_icon,Pour le backend
total_users_count_label,Utilisateurs enregistrés
total_cat_count_label,Catégories totales
total_contact_label,Message de contact total
total_likes_count_label,Nombre total de likes
total_favs_count_label,Nombre total de favoris
total_comments_count_label,Nombre total de commentaires
category_panel_title,Catégories récentes
recent_news_panel_title,Nouvelles récentes
available_inside,Nouvelles disponibles dans cette catégorie.
contact_message,Messages de contact
user_latest_members,Derniers utilisateurs enregistrés
success_contact,Votre message a bien été enregistré dans le système.
file_na,Indisponible
required_platform,Plateforme requise
err_noti_register,"Désolé, il y a un problème pour l'enregistrement de la notification push"
success_noti_register,Votre appareil s'est enregistré avec succès pour la notification push.
success_noti_unregister,Votre appareil n'a pas été enregistré avec succès pour la notification push.
