key,القيمة
site_name,Flutter Buy & Sell Admin Panel
title_bar_seperator,|
added_date,تاريخ
upload_point_label,تحميل نقطة
success_item_report,تم إضافة تقرير العنصر بنجاح
signin,تسجيل الدخول
check_for_detail,تحقق لمزيد من التفاصيل!
success_delete,تم الحذف بنجاح
success_save_contact,شكرا لإتصالك بنا. سوف نتواصل معك قريبًا.
success_contact_delete,تم حذف رسالة الاتصال بنجاح
btn_search,بحث
btn_add_new,اضف جديد
btn_edit,تعديل
btn_save,حفظ
btn_save_gallery,احفظ وانتقل إلى المعرض
btn_cancel,إلغاء
btn_yes,نعم
btn_delete,حذف
btn_publish,ينشر
btn_replace_photo,استبدال الصور
btn_replace_icon,استبدال أيقونة
back_button,عودة
lbl_view,رأي
chat_history_save_success,تمت إضافة سجل الدردشة بنجاح
chat_history_update_success,تم تحديث سجل الدردشة بنجاح
btn_version,الإصدار
ver_info,معلومات الإصدار
ver_no_label,نسخة رقم
ver_msg_label,رسالة الإصدار
ver_title_label,عنوان الإصدار
ver_force_update,نسخة قوة التحديث؟
ver_need_data,نسخة تحتاج مسح البيانات؟
success_version_add,تم إضافة النسخة بنجاح
success_version_edit,تم تحديث الإصدار بنجاح
dashboard,لوحة القيادة
no,لا
del_cover_photo,حذف صورة الغلاف
youtube_url,يوتيوب URL
profile_img,صورة الملف الشخصي
success_upload,تم تحميل الصورة بنجاح
success_img_delete,تم حذف الصورة بنجاح
error_login,البريد الإلكتروني وكلمة المرور لا يتطابقان
err_access,آسف ، لا يمكنك الوصول إلى هذا الإجراء
err_model,حدث خطأ في قاعدة البيانات
err_sys,حدث خطأ في النظام
err_upload,حدث خطأ في التحميل
wrn_no_data,لا توجد بيانات حتى الآن
del_cover_photo_confirm,هل أنت متأكد أنك تريد حذف الصورة؟
upload_photo,حمل الصورة
no_record,لا مزيد من السجلات
invalid_api_key,مفتاح API غير صالح
invalid_user_id,هوية مستخدم غير صالحه
invalid_item_id,معرف العنصر غير صالح
role,وظيفة
user_name,اسم المستخدم
user_email,البريد الإلكتروني
user_password,كلمه السر
conf_password,تأكيد كلمة المرور
user_phone,هاتف
allowed_modules,الوحدات المسموح بها
user_ban,المنع
user_unban,رفع الحظر
user_info,معلومات المستخدم
user_list,قائمة المستخدمين
user_add,إضافة مستخدم جديد
user_edit,تحرير العضو
user_search,بحث المستخدم
err_dup_email,عنوان البريد الإلكتروني موجود بالفعل في النظام
err_dup_name,الاسم موجود بالفعل في النظام
err_user_name_blank,يرجى تقديم اسم المستخدم
err_user_name_len,يجب أن يكون طول اسم المستخدم أكبر من 4
err_user_email_blank,يرجى تقديم عنوان البريد الإلكتروني
err_user_email_invalid,يرجى تقديم عنوان بريد إلكتروني صالح
err_user_email_exist,عنوان البريد الإلكتروني موجود بالفعل في النظام
err_user_pass_blank,يرجى تقديم كلمة المرور
err_user_pass_len,يجب أن يكون طول كلمة المرور أكبر من 4
err_user_pass_conf_blank,يرجى تقديم تأكيد كلمة المرور
err_user_pass_conf_not_match,كلمة المرور وتأكيد كلمة المرور لا تتطابق
err_permission_blank,الرجاء تحديد الوحدات النمطية التي يمكنها الوصول إليها
success_user_add,تمت إضافة المستخدم بنجاح
success_user_edit,تم تحديث المستخدم بنجاح
err_user_banned,عذرًا ، لا يمكنك تسجيل الدخول لأن حسابك محظور.
cat_info,معلومات الفئة
cat_name,اسم التصنيف
cat_ordering,ترتيب الفئة
cat_img,صورة الغلاف الفئة
cat_icon,أيقونة الفئة
cat_search,بحث الفئة
cat_select,اختر اسم الفئة
cat_add,إضافة فئة
cat_edit,تحرير الفئة
success_cat_edit,تم تحديث الفئة بنجاح
success_cat_add,تمت إضافة الفئة بنجاح
success_cat_delete,تم حذف الفئة بنجاح
err_cat_name,يرجى تقديم اسم الفئة
err_cat_len,يجب أن يكون طول اسم الفئة أكبر من 4
err_cat_exist,اسم الفئة موجود بالفعل في النظام
delete_cat_label,حذف الفئة؟
cat_delete_confirm_message,هل تريد حذف كل الفئة؟
cat_yes_all_message,نعم الكل - سيتم حذف الفئة والعناصر من النظام.
cat_no_only_message,الفئة فقط - الفئة فقط ستحذف من النظام.
cat_yes_all_label,نعم جميعا
cat_no_only_label,فقط الفئة
subcat_info,معلومات الفئة الفرعية
subcat_name,اسم التصنيف الفرعي
subcat_ordering,ترتيب الفئة الفرعية
subcat_img,صورة الفئة الفرعية
subcat_icon,أيقونة الفئة الفرعية
subcat_search,بحث التصنيف الفرعي
subcat_add,إضافة فئة فرعية
subcat_edit,تحرير الفئة الفرعية
success_subcat_edit,تم تحديث الفئة الفرعية بنجاح
success_subcat_add,تمت إضافة الفئة الفرعية بنجاح
success_subcat_delete,تم حذف الفئة الفرعية بنجاح
err_subcat_name,يرجى تقديم اسم الفئة الفرعية
err_subcat_len,يجب أن يكون طول اسم التصنيف الفرعي أكبر من 4
err_subcat_exist,اسم التصنيف الفرعي موجود بالفعل في النظام
delete_subcat_label,حذف الفئة الفرعية؟
subcat_delete_confirm_message,هل أنت متأكد من حذف هذه الفئة الفرعية؟
subcat_yes_all_message,عند حذف هذه الفئة الفرعية ، سيتم حذف جميع المنتجات ذات الصلة أيضًا. هل ما زلت تريد حذفه؟
subcat_no_only_message,<b>الفئة الفرعية فقط</b> - سيتم حذف الفئة الفرعية فقط من النظام.
subcat_yes_all_label,نعم جميعا
subcat_no_only_label,الفئة الفرعية فقط
select_subcat,اختر الفئة الفرعية
select_cat,اختر الفئة
subcat_panel_title,قائمة الفئات الفرعية
Prd_search_cat,اختر اسم الفئة
delete_contact_label,حذف رسالة الاتصال؟
contact_delete_confirm_message,هل تريد حذف رسالة الاتصال؟
detail_contact_label,تفاصيل رسالة الاتصال
contact_info_label,معلومات رسالة الاتصال
about_contact_label,حول رسالة الاتصال
contact_info_label,معلومات الاتصال التفاصيل
contact_name,اسم شخص الاتصال
contact_email,اتصل شخص البريد الإلكتروني
contact_phone,شخص الاتصال الهاتف
btn_reset,إعادة تعيين
reset_password,إعادة تعيين كلمة المرور
contact_receive_message,لقد تلقيت رسالة جديدة للاتصال بنا.
nav_profile,الذهاب إلى الملف الشخصي
nav_backend,الذهاب إلى الخلفية
nav_logout,تسجيل خروج
total_label,مجموع :
device_label,جهاز
devices_label,الأجهزة
registered_label,تم تسجيله من أجل إعلام الدفع
noti_info,دفع الإخطار
noti_message_label,رسالة
noti_message_tooltips,يرجى تقديم رسالة لإشعار الدفع.
noti_send_btn,إرسال إعلام دفع
sorry_no_device,عذرًا ، لا يوجد جهاز مسجل لإشعار الدفع.
select_cat,اختر الفئة
success_noti_add,تم إضافة الإخطار بنجاح
success_noti_delete,تم حذف الإخطار بنجاح
delete_noti_label,حذف الإخطار؟
noti_yes_message,نعم ، سيتم حذف الإشعار من النظام.
push_message,رسالة دفع
noti_des_label,وصف
noti_img,صور الإعلام
noti_search,بحث نوتي
select_cat,اختر الفئة
noti_add,أضف نوتي
app_info_lable,حول المعلومات
about_title_label,عن العنوان
description_label,حول الوصف
about_email_label,حول البريد الإلكتروني
about_phone_label,عن الهاتف
about_website_label,حول رابط الموقع
about_seo_section,كبار المسئولين الاقتصاديين المعلومات
about_seo_title_label,كبار المسئولين الاقتصاديين العنوان
about_seo_desc_label,كبار المسئولين الاقتصاديين العنوان...
about_seo_keywords_label,كبار المسئولين الاقتصاديين الكلمات الرئيسية
about_social_section,المعلومات الاجتماعية
about_facebook_label,موقع التواصل الاجتماعي الفيسبوك
about_gplus_label,في + Google
about_instagram_label,إينستاجرام
about_youtube_label,موقع يوتيوب
about_pinterest_label,موقع Pinterest
about_twitter_label,تويتر
about_color_section,حول موضوع لون الموقع
about_theme,المواضيع المتاحة
success_about_edit,تم تحديث بنجاح
about_ads_analyt,جوجل تحليلية وإعداد الإعلانات
about_ads_client,عميل الإعلانات
about_ads_slot,شريحة الإعلانات
about_analyt_track_id,رقم تعريف المسار التحليلي
about_ads_on,تمكين جوجل ادسنس
about_analyt_on,تمكين Google Analytic
gdpr_label,محتوى الناتج المحلي الإجمالي
