key,value
site_name,Flutter Satın & Satış Yönetici Paneli
title_bar_seperator,|
added_date,tarih
upload_point_label,Yükleme Noktası
success_item_report,Ürün Raporu başarıyla eklendi
signin,Oturum aç
check_for_detail,Daha fazla ayrıntı için kontrol edin!
success_delete,başarıyla silindi
success_save_contact,Bizimle iletişime geçtiğiniz için teşekkürler. Yakında size geri ulaşacaktır.
success_contact_delete,İletişim İleti başarıyla silindi
btn_search,Arama
btn_add_new,Yeni ekle
btn_edit,Düzenle
btn_save,Kayıt etmek
btn_save_gallery,Galeri Kaydet ve Gönder
btn_cancel,İptal etmek
btn_yes,Evet
btn_delete,Sil
btn_publish,Yayınla
btn_replace_photo,Fotoğraf değiştirin
btn_replace_icon,Simge Değiştir
back_button,Geri
lbl_view,Görünüm
chat_history_save_success,Sohbet geçmişi başarıyla eklendi
chat_history_update_success,Sohbet geçmişi başarıyla güncellendi edilmiştir
btn_version,versiyon
ver_info,Versiyon bilgisi
ver_no_label,Sürüm No
ver_msg_label,Sürüm Mesajı
ver_title_label,Sürüm Adı
ver_force_update,Sürüm Kuvvet Güncelleme?
ver_need_data,Sürüm İhtiyaç Verileri Temizle?
success_version_add,Sürüm başarıyla eklendi
success_version_edit,Sürüm başarıyla güncellendi
dashboard,Gösterge Paneli
no,Hayır
del_cover_photo,Kapak Fotoğrafı Sil
youtube_url,Youtube URL
profile_img,Profil Görüntü
success_upload,Görüntü başarıyla yüklendi
success_img_delete,Görüntü başarıyla silindi
error_login,E-posta ve şifre uyuşmuyor
err_access,Maalesef bu eylemde hiçbir erişebilir
err_model,Veritabanı hatası oluştu
err_sys,Sistem hatası oluştu
err_upload,Yükleme hata oluştu
wrn_no_data,henüz veri bulunmamaktadır
del_cover_photo_confirm,Fotoğrafı silmek istediğiniz emin misiniz?
upload_photo,Fotoğraf yükle
no_record,Artık kayıtlar
invalid_api_key,API Anahtarı geçersiz
invalid_user_id,Geçersiz kullanıcı kimliği
invalid_item_id,Geçersiz Öğe Kimliği
role,rol
user_name,Kullanıcı adı
user_email,E-posta
user_password,Parola
conf_password,Şifreyi Onayla
user_phone,Telefon
allowed_modules,İzin Modüller
user_ban,yasak
user_unban,Yasağı kaldır
user_info,Kullanıcı bilgisi
user_list,Kullanıcılar listesi
user_add,Yeni Kullanıcı Ekle
user_edit,kullanıcıyı düzenle
user_search,Arama Kullanıcısı
err_dup_email,E-posta Adresi sistemde zaten var olan
err_dup_name,İsim sistemde zaten varolan edilir
err_user_name_blank,Kullanıcı adını verin
err_user_name_len,Kullanıcı adı uzunluğu 4 daha büyük olmalıdır
err_user_email_blank,E-posta adresi sağlayın
err_user_email_invalid,geçerli e-posta adresi girin
err_user_email_exist,E-posta Adresi sistemde zaten var olan
err_user_pass_blank,Lütfen şifreyi girin
err_user_pass_len,Şifre uzunluğu 4 daha büyük olmalıdır
err_user_pass_conf_blank,onayla şifresini verin
err_user_pass_conf_not_match,Şifre ve onaylama şifre eşleşmiyor
err_permission_blank,ulaflabildikleri hangi modülleri seçiniz
success_user_add,Kullanıcı başarıyla eklendi
success_user_edit,Kullanıcı başarıyla güncellendi
err_user_banned,"Hesabınız yasaklandı çünkü Maalesef, giriş yapamıyorum."
cat_info,Kategori Bilgisi
cat_name,Kategori adı
cat_ordering,Kategori Sipariş
cat_img,Kategori Kapak Fotoğrafı
cat_icon,Kategori Simgesi
cat_search,Arama Kategorisi
cat_select,Kategori Seç Adı
cat_add,Kategori ekle
cat_edit,Kategori Düzenle
success_cat_edit,Kategori başarıyla güncellendi
success_cat_add,Kategori başarıyla eklendi
success_cat_delete,Kategori başarıyla silindi
err_cat_name,Kategori adını verin
err_cat_len,Kategori Adı uzunluğu 4 daha büyük olmalıdır
err_cat_exist,Kategori Adı sistemde zaten var olan
delete_cat_label,Sil Kategori?
cat_delete_confirm_message,Tüm kategoriyi silmek istiyor musunuz?
cat_yes_all_message,Evet Hepsi - Kategori ve Öğeler sistemden siler.
cat_no_only_message,Sadece Kategori - Yalnızca Kategori sisteminden silecektir.
cat_yes_all_label,Evet Hepsi
cat_no_only_label,Sadece Kategorisi
subcat_info,Alt Kategori Bilgisi
subcat_name,Alt Kategori Adı
subcat_ordering,Alt Kategori Sipariş
subcat_img,Alt Kategori Fotoğraf
subcat_icon,Alt Kategori Simgesi
subcat_search,Alt Kategori Ara
subcat_add,Alt Kategori Ekle
subcat_edit,Düzenleme Alt Kategori
success_subcat_edit,Alt Kategori başarıyla güncellendi
success_subcat_add,Alt Kategori başarıyla eklendi
success_subcat_delete,Alt Kategori başarıyla silindi
err_subcat_name,alt kategori adını verin
err_subcat_len,Alt Kategori Adı uzunluğu 4 daha büyük olmalıdır
err_subcat_exist,Alt Kategori Adı sistemde zaten varolan edilir
delete_subcat_label,Sil Alt Kategori?
subcat_delete_confirm_message,Emin bu Sub Categry silmek musunuz?
subcat_yes_all_message,"Bu alt kategoriyi sildiğinizde, aynı zamanda tüm ilgili ürünler silecektir. Yani, yine de silmek istiyor musunuz?"
subcat_no_only_message,<B> Yalnızca Alt Kategori </ b> - Yalnızca Alt Kategori sisteminden silecektir.
subcat_yes_all_label,Evet Hepsi
subcat_no_only_label,Sadece Alt Kategori
select_subcat,Seç Alt Kategori
select_cat,Kategori seç
subcat_panel_title,Alt Kategori Listesi
