key,value
site_name,Flutter Buy & Sell Admin Panel
title_bar_seperator,|
added_date,Date
upload_point_label,Upload Point
success_item_report,Item Report has been successfully added
signin,Sign In
check_for_detail,Check for more detail!
success_delete,Successfully Deleted
success_save_contact,Thanks for contacting us. We will reach back to you soon.
success_contact_delete,Contact Message has been successfully deleted
btn_search,Search
btn_add_new,Add New
btn_edit,Edit
btn_save,Save
btn_save_gallery,Save and Go to Gallery
btn_cancel,Cancel
btn_yes,Yes
btn_delete,Delete
btn_publish,Publish
btn_replace_photo,Replace Photo
btn_replace_icon,Replace Icon
back_button,Back
lbl_view,View
chat_history_save_success,Chat history has been successfully added
chat_history_update_success,Chat history has been successfully updated
btn_version,Version
ver_info,Version Information
ver_no_label,Version No
ver_msg_label,Version Message
ver_title_label,Version Title
ver_force_update,Version Force Update?
ver_need_data,Version Need Clear Data?
success_version_add,Version has been successfully added
success_version_edit,Version has been successfully updated
dashboard,Dashboard
no,No
del_cover_photo,Delete Cover Photo
youtube_url,Youtube URL
profile_img,Profile Image
success_upload,Image has been successfully uploaded
success_img_delete,Image has been successfully deleted
error_login,Email and Password do not match
err_access,"Sorry, you have no access to take this action"
err_model,Database error occured
err_sys,System error occured
err_upload,Upload error occured
wrn_no_data,There is no data yet
del_cover_photo_confirm,Are you sure you want to delete the photo?
upload_photo,Upload photo
no_record,No more records
invalid_api_key,API Key is invalid
invalid_user_id,Invalid User Id
invalid_item_id,Invalid Item Id
role,Role
user_name,User Name
user_email,Email
user_password,Password
conf_password,Confirm Password
user_phone,Phone
allowed_modules,Allowed Modules
user_ban,Ban
user_unban,Unban
user_info,User Information
user_list,Users List
user_add,Add New User
user_edit,Edit User
user_search,Search User
err_dup_email,Email Address is already existed in the system
err_dup_name,Name is already existed in the system
err_user_name_blank,Please provide username
err_user_name_len,The length of the username must be greater than 4
err_user_email_blank,Please provide email address
err_user_email_invalid,Please provide valid email address
err_user_email_exist,Email Address is already existed in the system
err_user_pass_blank,Please provide password
err_user_pass_len,The length of the password must be greater than 4
err_user_pass_conf_blank,Please provide confirm password
err_user_pass_conf_not_match,Password and confirm password do not match
err_permission_blank,Please select which modules are able to access
success_user_add,User has been successfully added
success_user_edit,User has been succesfully updated
err_user_banned,"Sorry, you cannot login because your account is banned."
cat_info,Category Information
cat_name,Category Name
cat_ordering,Category Order
cat_img,Category Cover Photo
cat_icon,Category Icon
cat_search,Search Category
cat_select,Select Category Name
cat_add,Add Category
cat_edit,Edit Category
success_cat_edit,Category has been successfully updated
success_cat_add,Category has been successfully added
success_cat_delete,Category has been successfully deleted
err_cat_name,Please provide category name
err_cat_len,The length of Category Name must be greater than 4
err_cat_exist,Category Name is already existed in the system
delete_cat_label,Delete Category?
cat_delete_confirm_message,Do you want to delete all the category?
cat_yes_all_message,Yes All - Category and Items will delete from system.
cat_no_only_message,Only Category - Only Category will delete from system.
cat_yes_all_label,Yes All
cat_no_only_label,Only Category
subcat_info,Sub Category Information
subcat_name,Sub Category Name
subcat_ordering,Sub Category Order
subcat_img,Sub Category Photo
subcat_icon,Sub Category Icon
subcat_search,Search Sub Category
subcat_add,Add Sub Category
subcat_edit,Edit Sub Category
success_subcat_edit,Sub Category has been successfully updated
success_subcat_add,Sub Category has been successfully added
success_subcat_delete,Sub Category has been successfully deleted
err_subcat_name,Please provide sub category name
err_subcat_len,The length of Sub Category Name must be greater than 4
err_subcat_exist,Sub Category Name is already existed in the system
delete_subcat_label,Delete Sub Category?
subcat_delete_confirm_message,Are you sure to delete this Sub Categry?
subcat_yes_all_message,"When delete this sub category, it will delete all related products also. So, do you still want to delete it?"
subcat_no_only_message,<b>Only Sub Category</b> - Only Sub Category will delete from system.
subcat_yes_all_label,Yes All
subcat_no_only_label,Only Sub Category
select_subcat,Select Sub Category
select_cat,Select Category
subcat_panel_title,Sub Category List
Prd_search_cat,Select Category Name
delete_contact_label,Delete Contact Message?
contact_delete_confirm_message,Do you want to delete the contact message?
detail_contact_label,Contact Message Detail
contact_info_label,Contact Message Information
about_contact_label,About Contact Message
contact_info_label,Contact Detail Information
contact_name,Contact Person Name
contact_email,Contact Person Email
contact_phone,Contact Person Phone
btn_reset,Reset
reset_password,Reset Password
contact_receive_message,You have received new contact us message.
nav_profile,Go to profile
nav_backend,Go to Backend
nav_logout,Logout
total_label,Total :
device_label,Device
devices_label,Devices
registered_label,has been registered for Push Notification
noti_info,Push Notification
noti_message_label,Message
noti_message_tooltips,Please provide the messsage for push notification.
noti_send_btn,Send Push Notification
sorry_no_device,"Sorry, there is no registered device for Push Notification."
select_cat,Select Category
success_noti_add,Notification has been successfully added
success_noti_delete,Notification has been successfully deleted
delete_noti_label,Delete Notification?
noti_yes_message,Yes- Notification will delete from system.
push_message,Push Message
noti_des_label,Description
noti_img,Notification Photo
noti_search,Search Noti
select_cat,Select Category
noti_add,Add Noti
app_info_lable,About Information
about_title_label,About Title
description_label,About Description
about_email_label,About Email
about_phone_label,About Phone
about_website_label,About Website Link
about_seo_section,SEO Information
about_seo_title_label,SEO Title
about_seo_desc_label,SEO Description
about_seo_keywords_label,SEO Keywords
about_social_section,Social Information
about_facebook_label,Facebook
about_gplus_label,Google+
about_instagram_label,Instagram
about_youtube_label,Youtube
about_pinterest_label,Pinterest
about_twitter_label,Twitter
about_color_section,About Website Theme Color
about_theme,Available Themes
success_about_edit,About is successfully updated
about_ads_analyt,Google Analytic & Ads Setting
about_ads_client,Ads Client
about_ads_slot,Ads Slot
about_analyt_track_id,Analytic Track Id
about_ads_on,Enable Google Adsense
about_analyt_on,Enable Google Analytic
gdpr_label,GDPR Content
safety_tips_label,Safety Tips
total_users_count_label,Registered Users
total_cat_count_label,Total Categories
total_contact_label,Total Contact Message
total_likes_count_label,Total Likes Count
total_favs_count_label,Total Favourites Count
total_comments_count_label,Total Comments Count
category_panel_title,Recent Categories
recent_news_panel_title,Recent News
available_inside,News available inside this category.
contact_message,Contact Messages
user_latest_members,Latest Registered Users
success_contact,Your message successfully save in the system.
file_na,Not Available
required_platform,Required Platform
err_noti_register,"Sorry, there is the problem for Push Notification registration"
success_noti_register,Your device successfully registered for Push Notification.
success_noti_unregister,Your device successfully unregistered for Push Notification.
err_noti_unregister,"Sorry, there is the problem for Push Notification unregistration"
success_touch_count,Touch Count Successfully Inserted.
err_touch_count,Problem In Touch Count!
err_user_register,"Sorry, there is the problem for user registration."
err_user_not_exist,"Sorry, user is not exist in the system."
err_user_not_verify,"Sorry, your account is not yet verify."
err_email_not_send,"Sorry, there is problem in sending email."
err_user_update,"Sorry, there is problem in updating user information."
err_user_password_update,"Sorry, there is problem in updating user's password."
success_profile_update,Your profile successfully updated.
success_email_sent,Email is sent successfully.
success_reset,Password has been reset successfully
success_reset_email_sent,Reset Email is sent successfully
trending,Trending News
editor_pick,Editor Picked News
list_product_nav,Item
prd_add,Add Item
att_add,Add New Attribute
add_att_detail,Add New Attribute Detail
list_attribute_header,Attribute Header List
item_name,Item Name
att_name,Attribute Name
Prd_search_subcat,Select Subcategory Name
Prd_search_dis,Select Discount Type
product_gallery,Item Gallery
prd_info,Item Information
rec_prd_info,Recently Added Items
att_info,Attribute Information
prd_desc,Item Description
prd_high_info,Item Highlight Information
prd_edit,Edit Item
prd_code,Item Code
success_prd_add,Item has been successfully added
success_prd_edit,Item has been successfully updated
success_upload,Image has been successfully updated
delete_prd_label,Delete Item?
prd_yes_all_message,"When delete this item, it will delete all related sub categories and category also. So, do you still want to delete it?"
success_prd_delete,Item has been successfully deleted
prd_search,Search Item
err_item_name,Please provide item name
err_item_len,The length of Item Name must be greater than 4
err_item_exist,Item Name is already existed in the system
item_gallery,Item Gallery
condition_of_item,Condition Of Item
item_description_label,Description
deal_option_id_label,Deal Option
meet_up_label,Meet Up
mailing_or_delivery_label,Mailing Or Delivery
brand_label,Brand
price,Price
itm_title_label,Title
itm_business_mode,Is Shop?
itm_show_shop,( If show user can order more than one )
itm_is_sold_out,Is Sold Out?
location_info_label,Location Information
itm_address_label,Address
itm_lat_label,Latitude
